0,0,20
1,21,96
0,97,102
8,103,124
1,125,127
8,128,131
0,132,186
8,187,188
3,189,193
8,194,200
3,201,208
8,209,210
0,211,244
6,245,249
3,250,254
6,255,275
0,276,286
6,287,289
3,290,299
8,300,305
4,306,308
0,309,321
2,322,366
0,367,402
1,403,436
0,437,443
4,444,481
0,482,486
2,487,513
7,514,514
0,515,584
2,585,609
0,610,729
8,730,750
0,751,805
2,806,830
0,831,879
4,880,883
3,884,968
0,969,970
2,971,990
0,991,1042
7,1043,1081
0,1082,1101
5,1102,1152
0,1153,1171
8,1172,1200
0,1201,1209
2,1210,1218
8,1219,1222
0,1223,1251
