13,0,6
15,7,16
13,17,22
10,23,31
13,32,36
15,37,54
4,55,58
10,59,71
4,72,75
15,76,166
0,167,170
5,171,171
0,172,173
10,174,175
5,176,176
3,177,185
2,186,191
9,192,194
2,195,195
9,196,197
0,198,217
4,218,219
5,220,260
0,261,274
15,275,287
0,288,289
16,290,324
7,325,327
16,328,329
0,330,330
6,331,332
5,333,334
8,335,374
0,375,392
15,393,452
14,453,456
15,457,468
13,469,474
0,475,477
13,478,530
4,531,591
15,592,644
0,645,651
17,652,670
7,671,673
17,674,676
0,677,697
3,698,714
13,715,720
3,721,725
0,726,732
18,733,736
0,737,792
1,793,798
14,799,811
15,812,813
16,814,869
0,870,871
16,872,912
15,913,919
0,920,938
19,939,958
15,959,966
4,967,994
15,995,1034
19,1035,1039
0,1040,1049
13,1050,1055
14,1056,1071
10,1072,1074
13,1075,1082
15,1083,1140
4,1141,1152
10,1153,1156
15,1157,1182
13,1183,1190
3,1191,1198
15,1199,1226
0,1227,1228
12,1229,1231
4,1232,1232
12,1233,1256
0,1257,1260
6,1261,1262
12,1263,1266
0,1267,1278
12,1279,1283
16,1284,1292
15,1293,1340
4,1341,1347
15,1348,1376
4,1377,1383
15,1384,1419
4,1420,1425
15,1426,1450
0,1451,1457
19,1458,1488
0,1489,1512
10,1513,1534
9,1535,1541
0,1542,1544
4,1545,1556
13,1557,1558
4,1559,1560
15,1561,1562
4,1563,1565
0,1566,1570
15,1571,1592
0,1593,1600
3,1601,1607
9,1608,1625
0,1626,1679
10,1680,1688
3,1689,1693
0,1694,1695
10,1696,1699
15,1700,1722
0,1723,1731
18,1732,1784
0,1785,1791
12,1792,1793
4,1794,1799
12,1800,1831
15,1832,1848
