0,0,4
16,5,6
17,7,45
0,46,50
17,51,58
0,59,88
7,89,142
0,143,147
17,148,151
8,152,195
0,196,231
2,232,255
0,256,287
9,288,338
0,339,353
19,354,361
15,362,366
14,367,370
0,371,428
15,429,443
11,444,445
0,446,484
11,485,488
3,489,529
0,530,550
12,551,579
0,580,593
7,594,595
1,596,616
0,617,670
9,671,686
6,687,707
0,708,717
20,718,737
0,738,753
16,754,795
0,796,810
4,811,837
0,838,859
2,860,863
14,864,893
0,894,907
13,908,912
7,913,913
13,914,946
0,947,954
4,955,966
10,967,983
0,984,1013
5,1014,1066
0,1067,1092
18,1093,1124
0,1125,1189
