1,0,3
0,4,4
4,5,11
0,12,64
3,65,72
0,73,158
12,159,160
0,161,164
6,165,197
0,198,198
12,199,200
0,201,202
12,203,277
18,278,342
0,343,370
18,371,385
4,386,395
8,396,439
0,440,443
8,444,448
5,449,454
4,455,457
0,458,485
10,486,491
0,492,528
13,529,535
0,536,537
16,538,583
0,584,643
7,644,648
0,649,660
7,661,662
0,663,665
10,666,671
0,672,678
4,679,681
0,682,690
4,691,734
0,735,772
10,773,785
0,786,809
2,810,832
0,833,844
12,845,858
0,859,958
15,959,1040
0,1041,1053
13,1054,1069
0,1070,1073
13,1074,1114
0,1115,1157
1,1158,1182
13,1183,1200
0,1201,1245
19,1246,1275
4,1276,1278
12,1279,1280
0,1281,1282
5,1283,1299
0,1300,1302
6,1303,1331
