15,0,3
3,4,18
0,19,38
1,39,40
0,41,127
1,128,131
13,132,184
18,185,186
0,187,188
19,189,200
0,201,213
19,214,219
15,220,242
5,243,249
14,250,254
5,255,263
0,264,275
4,276,283
12,284,286
5,287,289
6,290,317
16,318,319
0,320,335
2,336,348
0,349,366
16,367,400
0,401,436
11,437,443
12,444,445
8,446,447
12,448,481
4,482,484
0,485,531
4,532,542
0,543,544
4,545,580
0,581,632
11,633,661
15,662,725
1,726,729
0,730,750
13,751,762
4,763,803
0,804,847
11,848,877
0,878,879
12,880,881
8,882,933
18,934,956
0,957,1099
16,1100,1101
0,1102,1106
16,1107,1108
0,1109,1114
16,1115,1120
0,1121,1125
16,1126,1138
0,1139,1168
11,1169,1171
0,1172,1233
15,1234,1251
