13,0,5
0,6,9
16,10,45
0,46,50
19,51,52
0,53,57
19,58,69
0,70,108
11,109,111
0,112,201
14,202,230
19,231,238
0,239,265
10,266,268
2,269,306
0,307,313
17,314,352
0,353,388
7,389,432
0,433,452
15,453,507
0,508,529
10,530,544
0,545,547
1,548,549
10,550,552
1,553,563
0,564,574
13,575,599
0,600,630
1,631,668
0,669,692
11,693,695
17,696,716
11,717,723
0,724,743
8,744,800
0,801,814
18,815,848
13,849,854
0,855,870
5,871,892
4,893,894
5,895,934
4,935,947
0,948,950
4,951,993
13,994,1002
0,1003,1018
9,1019,1024
0,1025,1084
12,1085,1144
0,1145,1159
3,1160,1188
0,1189,1196
4,1197,1197
6,1198,1240
0,1241,1242
