9,0,3
8,4,18
0,19,20
1,21,96
0,97,102
14,103,107
0,108,119
14,120,124
0,125,186
19,187,219
0,220,242
8,243,244
5,245,247
12,248,249
6,250,263
5,264,268
6,269,275
8,276,283
0,284,284
8,285,286
5,287,289
6,290,317
0,318,324
2,325,366
0,367,419
1,420,421
0,422,445
8,446,447
12,448,481
0,482,501
17,502,513
0,514,524
4,525,549
0,550,584
11,585,614
0,615,667
15,668,703
0,704,744
14,745,750
0,751,808
9,809,830
3,831,835
0,836,879
8,880,956
0,957,970
9,971,990
0,991,1042
7,1043,1066
0,1067,1101
1,1102,1104
16,1105,1122
0,1123,1180
18,1181,1196
0,1197,1251
