15,0,3
0,4,5
8,6,7
12,8,9
6,10,15
12,16,89
0,90,152
7,153,178
0,179,252
3,253,254
0,255,290
6,291,349
0,350,355
16,356,394
0,395,398
15,399,441
0,442,447
8,448,496
0,497,534
4,535,567
15,568,607
0,608,637
9,638,643
3,644,648
0,649,729
9,730,731
3,732,760
0,761,764
3,765,772
0,773,814
19,815,842
0,843,872
2,873,913
0,914,936
18,937,973
0,974,1009
1,1010,1039
13,1040,1060
1,1061,1087
0,1088,1093
1,1094,1097
14,1098,1116
13,1117,1119
14,1120,1126
0,1127,1152
6,1153,1153
5,1154,1189
8,1190,1192
5,1193,1205
0,1206,1277
11,1278,1309
0,1310,1333
