13,0,1
0,2,4
11,5,39
0,40,82
11,83,90
2,91,122
0,123,125
10,126,127
17,128,156
0,157,167
13,168,177
14,178,179
10,180,181
13,182,190
0,191,197
15,198,229
4,230,242
0,243,253
18,254,264
19,265,281
0,282,286
4,287,331
0,332,365
1,366,399
0,400,542
3,543,557
0,558,568
6,569,570
5,571,620
0,621,626
6,627,628
8,629,679
0,680,691
18,692,724
0,725,752
18,753,767
14,768,771
0,772,790
7,791,809
0,810,859
9,860,863
0,864,922
8,923,926
12,927,928
8,929,939
12,940,957
0,958,986
16,987,988
1,989,990
7,991,1026
0,1027,1064
6,1065,1114
